database_inspire,retention_target,mechanism,strength,method,evaluation_target_inspire,metric_inspire,n_replicates_inspire,mean_inspire,sd_inspire,q025_inspire,q975_inspire,truth_inspire,bias_inspire,rmse_inspire,database_mimic,evaluation_target_mimic,metric_mimic,n_replicates_mimic,mean_mimic,sd_mimic,q025_mimic,q975_mimic,truth_mimic,bias_mimic,rmse_mimic
INSPIRE,0.35,stratum_MAR,weak,IPAW_design_probability_truncated99,reconstructed,oe,300,1.5063856670654812,0.1992654433856301,1.092093337300737,1.8960237152527528,1.7981835040786758,-0.2917978370131946,0.3531576685988262,MIMIC,reconstructed,oe,300,0.7596985475770337,0.0354574592895187,0.6935883636946002,0.8302209031372854,1.014641724383521,-0.2549431768064873,0.2573889353644678
INSPIRE,0.35,stratum_MAR,weak,IPAW_design_probability_untruncated,reconstructed,oe,300,1.4828684708210087,0.1979405588395679,1.0823157337590572,1.879446998695408,1.7981835040786758,-0.3153150332576671,0.3721201868785923,MIMIC,reconstructed,oe,300,0.7571076693804968,0.0357300795826577,0.6894496150719504,0.8309495976983354,1.014641724383521,-0.2575340550030243,0.2599926395329821
INSPIRE,0.35,stratum_MAR,weak,naive,reconstructed,oe,300,2.1742430808245667,0.1806911142973506,1.817981689724103,2.5091132091062334,1.7981835040786758,0.3760595767458909,0.4170866254377262,MIMIC,reconstructed,oe,300,0.8830374637104459,0.0313829094430229,0.8188409210733053,0.9413958682948148,1.014641724383521,-0.1316042606730751,0.1352822437562741
INSPIRE,0.35,stratum_MAR,weak,recalibration_intercept_slope_truth,full,oe,300,0.8432906790014593,0.0861863720502434,0.7057666330936466,1.0258061571212342,1.0,-0.1567093209985407,0.178776792992219,MIMIC,full,oe,300,1.125954432702683,0.0417150888510856,1.0524114254740953,1.2106469478917763,1.0,0.1259544327026829,0.1326607223704484
INSPIRE,0.35,stratum_MAR,weak,recalibration_intercept_truth,full,oe,300,0.819022538562942,0.0727958183010139,0.7064919622161291,0.9811262373932575,1.0,-0.1809774614370579,0.1950241231397858,MIMIC,full,oe,300,1.1535317708959056,0.0423246207553096,1.0785397987040466,1.2471750040395055,1.0,0.1535317708959056,0.1592400921609882
INSPIRE,0.35,stratum_MAR,weak,reference_10pct_recalibration,full_heldout,oe,300,1.0949205142662766,0.3605938510424838,0.6476096952278079,2.037221956172613,1.0,0.0949205142662765,0.3722961227573975,MIMIC,full_heldout,oe,300,1.0149405674978615,0.1111477648018876,0.8151075702385951,1.2646264887448586,1.0,0.0149405674978615,0.1119636850004457
INSPIRE,0.55,MCAR,strong,AIPW_design_probability,reconstructed,oe,300,1.5470277008211588,0.1346656427031061,1.293452663373796,1.7916298928258454,1.7981835040786758,-0.2511558032575169,0.2848747503438785,MIMIC,reconstructed,oe,300,0.8425972086266231,0.0218039182842905,0.7999683496095378,0.8824800522523363,1.014641724383521,-0.1720445157568979,0.1734160936929778
INSPIRE,0.55,MCAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.5483879415630022,0.136746998679557,1.294311085317651,1.7991338362601612,1.7981835040786758,-0.2497955625156735,0.2846668794015718,MIMIC,reconstructed,oe,300,0.8427567143299292,0.0214744710811668,0.8010148019700367,0.8816567507402887,1.014641724383521,-0.1718850100535919,0.1732168364015996
INSPIRE,0.55,MCAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.5483879415630022,0.136746998679557,1.294311085317651,1.7991338362601612,1.7981835040786758,-0.2497955625156735,0.2846668794015718,MIMIC,reconstructed,oe,300,0.842497527198775,0.021472503704624,0.8008045349149283,0.8815594960749613,1.014641724383521,-0.172144197184746,0.1734737909455143
INSPIRE,0.55,MCAR,strong,naive,reconstructed,oe,300,1.8147669730695497,0.1305770726181235,1.5563196940667792,2.0583785190554287,1.7981835040786758,0.0165834689908739,0.1314098503321253,MIMIC,reconstructed,oe,300,0.9038588972858328,0.0210350553878782,0.8626944521645776,0.942368967458128,1.014641724383521,-0.1107828270976882,0.1127556358816569
