model,database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,reconstructed_sensitivity,299,0.5469681547186273,0.06269176205203042,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,ess,299,291.0,0.0,291.0,291.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,event_rate_se,299,0.020461297374765364,0.0004067186466749325,0.019629336928983956,0.021195044218573513,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,reference_sample_n,299,33.0,0.0,33.0,33.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,evaluation_n,299,291.0,0.0,291.0,291.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,event_rate,300,0.14265122265122263,0.009873117661360476,0.12355212355212356,0.16216216216216217,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,oe,300,1.1385629989318704,0.4323706992672885,0.576238356105256,2.2129147485406686,1.0,0.1385629989318704,0.453344216005816
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,brier,300,0.11472822877233296,0.008459197073180194,0.10318235919666072,0.13459263028180146,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,auc,300,0.6940573516400463,0.07128254594034615,0.6449834852210811,0.7461251229856442,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,calibration_intercept,300,0.9497026973608707,15.901490500879556,-1.312210369121936,9.039274142511788,0.0,0.9497026973608707,15.903347992244857
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,calibration_slope,300,1.4690528544036907,8.05172675196851,0.25876505982900894,5.896644964602197,1.0,0.4690528544036907,8.051969526537906
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,ess,300,259.0,0.0,259.0,259.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,event_rate_se,300,0.021712534171101954,0.0006324581122317794,0.020447408414756684,0.022903658837129595,,,
